x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.5,0.6,0.0,0.42,0.55,0.0,0.38,0.48,0.0,0.34,0.4,0.0,0.44,0.5,0.0,0.55,0.45,0.0,0.58,0.32,0.0,0.6,0.22,0.0,0.54,0.48,0.0,0.5,0.42,0.0,0.5,0.25,0.0,0.5,0.14,0.0,0.5,0.46,0.0,0.45,0.45,0.0,0.42,0.3,0.0,0.4,0.19,0.0,0.46,0.48,0.0,0.4,0.5,0.0,0.36,0.38,0.0,0.33,0.28,0.0,0.42,0.5,0.0,0
0.5272065,0.5972268,0.005181508,0.45457596,0.5375814,-0.0023590298,0.41717875,0.46845388,-0.004371413,0.3726038,0.36895254,-0.0043393928,0.46985132,0.47070488,-0.015106779,0.583556,0.43304542,0.0023302343,0.62283593,0.29313883,0.012175931,0.6567583,0.20110731,-0.012540012,0.5700485,0.47385493,-0.010199121,0.5403044,0.40130886,-0.0028512012,0.5435351,0.24038926,-0.0004723274,0.54874074,0.11405402,-0.010796413,0.536641,0.43225962,-0.011714304,0.48234197,0.44075724,0.0011084677,0.45987093,0.2694744,-0.0129998345,0.44195494,0.14893137,0.008682598,0.4934865,0.452265,0.0024143478,0.4210981,0.477787,0.0048735654,0.398772,0.3613645,-0.007533107,0.36341935,0.24650368,0.007985028,0.4413155,0.48345742,-0.009817243,0
0.49115592,0.5864828,-0.005160958,0.4115799,0.5629082,-2.6955073e-05,0.35337082,0.46562213,0.007200398,0.28432485,0.41664544,0.0010481111,0.39591512,0.4972652,0.0032840064,0.5225352,0.4075179,-0.0065375715,0.5057135,0.28291556,0.0030450283,0.49865478,0.17244804,0.0010929111,0.5157088,0.4403221,-0.0024860112,0.44638756,0.38634947,0.0027700758,0.40997562,0.22360125,-0.0017017467,0.36638793,0.11149741,-0.0026128448,0.45633972,0.4386265,0.0036795156,0.42535695,0.43868437,0.00244508,0.3347904,0.28070098,5.1510655e-05,0.2957277,0.20927103,-0.0013459425,0.43009827,0.46827444,-0.009572541,0.38271362,0.50913626,0.006940278,0.2949062,0.40696135,-0.011537293,0.25180686,0.3161715,-0.0080714915,0.387789,0.50214636,-0.003967443,0
0.498402,0.63319194,-0.007355394,0.42655778,0.58586735,-0.0024760475,0.36501175,0.5222144,0.0020125243,0.31127405,0.44704115,0.0016627148,0.4282103,0.54637915,-0.009948997,0.5142787,0.47357294,0.0025804127,0.5286892,0.33328116,-0.0053999433,0.5270443,0.22877172,-0.005680329,0.5360741,0.49982938,-0.009576144,0.4711777,0.43897456,0.006583621,0.43911207,0.26961944,0.008023596,0.41245097,0.17419255,0.015647883,0.4729019,0.4822173,-0.007111086,0.41744578,0.48930112,0.0029411777,0.3657027,0.3513095,0.0002607996,0.32975397,0.23502842,0.02237334,0.44402176,0.5084199,-0.008592609,0.38833338,0.54651946,0.0059866593,0.32293057,0.43648168,-0.006762137,0.25508493,0.3434703,0.0071497895,0.40440947,0.5345382,0.0015691655,0
0.5025795,0.598874,-0.009143762,0.41520283,0.5708964,0.008526435,0.364058,0.49506658,-0.007515316,0.30760857,0.44131255,0.004017613,0.45138633,0.5125112,0.008943295,0.5253847,0.44661486,-0.002573457,0.52365553,0.3035172,-0.0019507147,0.5140809,0.21103509,0.018302955,0.50006074,0.48275065,-0.012872611,0.46030292,0.43363744,0.00043941138,0.41734833,0.2556799,0.005323814,0.39877674,0.15559971,0.00029090553,0.4689547,0.4809385,0.0049612154,0.40445372,0.46868888,-0.005324117,0.36494687,0.31698677,-0.0009816244,0.32278034,0.22784713,-0.009598818,0.43240562,0.48778552,-0.005256983,0.39609483,0.5229826,-0.010079763,0.32866287,0.42957473,0.008124882,0.2555687,0.32257465,0.009985918,0.3963679,0.5232395,0.006078214,0
0.47345182,0.58968294,0.01305929,0.38447756,0.52819,-4.9290966e-06,0.37897995,0.441579,0.008976935,0.33621836,0.35103512,0.0028778585,0.42841285,0.4784895,-0.00053508114,0.54891247,0.44818038,0.004618053,0.6212476,0.30432883,0.017414598,0.6273204,0.20480496,0.0039758915,0.53993195,0.47333166,-0.0029529645,0.5000887,0.4015304,0.0062490148,0.535462,0.21900807,0.0066839852,0.55112606,0.11364296,0.004335294,0.49058974,0.4443396,0.0053589526,0.45015255,0.4319052,-0.000121621066,0.449033,0.26169702,0.0036172876,0.43238553,0.14143273,0.008416783,0.45672697,0.47325632,0.010215047,0.38219675,0.482711,-0.0038416001,0.3625847,0.34055507,-0.00029850012,0.3499974,0.22256605,0.017060984,0.39735624,0.4683401,0.008932976,0
0.47904643,0.57218844,-0.005417294,0.40308917,0.4978521,-0.006758031,0.36132196,0.41434035,-0.0043919864,0.33002266,0.3146368,0.0029174073,0.42344067,0.4412737,0.0028006597,0.54946786,0.39956307,-0.005790428,0.6187178,0.27920625,0.014038344,0.672738,0.17026442,0.0005313863,0.5334816,0.443776,-0.0019057898,0.51518166,0.36372522,0.0053974036,0.5612701,0.18363182,0.004334156,0.5779726,0.057581853,0.002728736,0.5022282,0.41576308,-0.0062836213,0.4483405,0.39748293,0.013819497,0.45279527,0.24095275,-0.006232443,0.45690817,0.09701585,0.020495905,0.4478887,0.4196055,-0.0047143744,0.36482248,0.42939487,-0.006158192,0.36497098,0.29930368,0.017661126,0.36190054,0.17516015,-0.007417099,0.41158321,0.43115404,0.017256994,0
0.5096406,0.6076703,-0.013705077,0.4350881,0.5698608,0.007822703,0.37246618,0.5067783,-0.0011691618,0.34292358,0.43683675,0.0033363998,0.43240732,0.5241377,-0.00032983482,0.5411802,0.47692978,-0.009411906,0.5454367,0.36191973,0.0012168819,0.5630119,0.2712479,-0.00036354593,0.5385312,0.49983388,0.013826154,0.5022899,0.4452467,0.00588039,0.48404294,0.3029609,-0.008246726,0.47705546,0.2006267,-0.014037774,0.48256904,0.4701255,-0.0031727927,0.45210794,0.48905388,-0.00066687935,0.42024362,0.33310974,-0.013633933,0.38358745,0.24805886,-0.0014459303,0.44205633,0.5055561,-0.010723783,0.40892896,0.52953154,-0.008064028,0.35542378,0.41320762,-0.0016646723,0.3323883,0.32396415,0.002469705,0.41778865,0.52042085,-0.0019882235,0
0.49217469,0.57894677,0.0017118392,0.4217448,0.53793675,0.0047439868,0.38779587,0.47056797,-0.0042723273,0.3386418,0.38322994,-0.011389796,0.45057505,0.503568,-0.001796354,0.54645073,0.44231862,0.023418706,0.5740179,0.3146944,-0.007149418,0.56870794,0.22263193,-0.0056401915,0.52267957,0.46441913,-0.008104156,0.50659966,0.4197655,3.0142493e-05,0.49850872,0.25285265,-0.006435254,0.49490577,0.15223221,-0.007768488,0.49334413,0.44487172,-0.010386689,0.45493218,0.45801172,-0.010506159,0.41748872,0.2978885,-0.0036003164,0.3856843,0.19325219,0.00045818998,0.451717,0.4741445,-0.00029009578,0.39980713,0.48619622,-0.004279549,0.36546054,0.38447866,-0.00731622,0.3284794,0.2930398,-0.012558251,0.4247301,0.48707998,0.004413879,0
0.49260268,0.6120409,0.0051087397,0.4008726,0.54607975,-0.010853199,0.38171256,0.46624365,-0.007827532,0.35695428,0.38172805,-0.0053807697,0.4555321,0.4926405,0.0041699074,0.58986026,0.4526756,-0.007279377,0.63792753,0.33923835,0.0028007021,0.6697421,0.23813881,-0.001745729,0.56601137,0.50490206,0.0025112275,0.52427167,0.42402467,-0.004135184,0.5669256,0.24612376,0.0020984784,0.6022223,0.14354183,-0.0032158007,0.5293308,0.46973872,-0.017991062,0.4623322,0.43247396,-0.0034357763,0.46499905,0.29921362,0.0024191008,0.46652266,0.1710556,-0.019484129,0.47262412,0.49078143,-0.013162303,0.4133431,0.49712908,-0.0039861435,0.38880974,0.3772211,0.0011672379,0.37958157,0.24134313,-0.0077363225,0.43386766,0.4907184,0.0002153596,0
